Rk,Country,State,# of Pros,# Active,# of HOF,G,TDs,Most Touchdowns,TDs,Most Games Played,Games
111,Norway,,5,0,1,375,0,,,Jan Stenerud\stenejan01,263
112,Okinawa,,1,0,0,50,0,,,Rick Berns\BernRi00,50
113,Panama,,2,0,0,34,0,,,Alvin Powell\PoweAl20,20
114,Panama Canal Zone,,2,0,0,123,1,Leo Barker\BarkLe20,1,Leo Barker\BarkLe20,122
115,Paraguay,,1,0,0,90,0,,,Benny Ricardo\ricarben01,90
116,Philippines,,3,0,0,198,0,,,Eugene Amano\AmanEu20,124
117,Phillipines,,4,0,0,95,14,Tim Tebow\TeboTi00,12,Sanjay Beach\BeacSa00,42
118,Poland,,6,1,0,442,1,Chester Marcol\marcoche01,1,Sebastian Janikowski\janikseb01,268
119,Puerto Rico,,2,0,0,126,0,,,Ken Amato\AmatKe20,125
120,Romania,,4,0,0,146,0,,,George Gross\GrosGe20,70
121,Russia,,6,0,0,112,20,Ace Gutowsky\GutoAc20,20,Ace Gutowsky\GutoAc20,86
122,Saudi Arabia,,1,0,0,14,0,,,Jordan Kent\KentJo20,14
123,Scotland,,9,1,0,311,2,James Robertson\RobeJa22,2,Lawrence Tynes\tyneslaw01,129
124,Sierra Leone,,1,0,0,100,0,,,Gibril Wilson\WilsGi20,100
125,South Africa,,2,0,0,453,15,Jerome Pathon\PathJe00,15,Gary Anderson\andergar02,353
126,South Korea,,2,1,0,95,0,,,Kyle Love\LoveKy00,84
127,Spain,,3,0,0,24,1,Kelly Rodriguez\RodrKe20,1,Kelly Rodriguez\RodrKe20,15
128,St. Kitts & Nevis,,1,0,0,28,0,,,Erasmus James\JameEr20,28
129,Sweden,,9,0,0,105,17,Curly Oden\OdenCu20,17,Curly Oden\OdenCu20,67
130,Syria,,1,0,0,9,0,,,Heinie Jawish\JawiHe20,9
131,Taiwan,,2,0,0,100,0,,,Tony Daykin\DaykTo20,73
132,Thailand,,1,0,0,57,0,,,Tony Brown\BrowTo24,57
133,Tonga,,14,1,0,808,17,Tim Manoa\ManoTi00,8,Ma'ake Kemoeatu\KemoMa20,136
134,Trinidad,,4,0,0,127,1,Curvin Richards\RichCu00,1,Anthony Herrera\HerrAn20,80
135,Trinidad & Tobago,,1,0,0,2,0,,,Yannick Cudjoe-Virgil\CudjYa00,2
136,Turkey,,1,0,0,177,0,,,Tunch Ilkin\IlkiTu00,177
137,U.S. Virgin Islands,,1,1,0,113,0,,,Linval Joseph\JoseLi99,113
138,Uganda,,3,0,0,201,0,,,Mathias Kiwanuka\KiwaMa20,120
139,Ukraine,,3,0,0,244,10,Buckets Goldenberg\GoldBu20,10,Buckets Goldenberg\GoldBu20,120
140,Venezuela,,2,0,0,4,0,,,Pat Ragusa\raguspat01,3
141,Virgin Islands,,9,0,0,427,3,Quentin Coryatt\CoryQu20,1,Renaldo Turnbull\TurnRe00,120
142,Wales,,2,0,0,7,0,,,Allan Watson\WatsAl20,4
143,West Africa,,2,0,0,129,2,Madieu Williams\WillMa20,2,Madieu Williams\WillMa20,119
144,West Germany,,3,0,0,246,2,Mike Jenkins\JenkMi99,1,Jerome Felton\FeltJe00,132
145,Western Samoa,,6,0,0,356,0,,,Jesse Sapolu\SapoJe00,182
146,Yugoslavia,,6,0,0,186,8,Frankie Sinkwich\SinkFr21,8,Visco Grgich\GrgiVi00,78
147,Zaire,,2,0,0,62,17,Tim Biakabutuka\BiakTi00,17,Tim Biakabutuka\BiakTi00,50
148,Zimbabwe,,1,1,0,26,0,,,Stansly Maponga\MapoSt00,26
149,Unknown,,529,351,0,3286,131,Alvin Kamara\KamaAl00,14,Andrew Adams\AdamAn01,30


Provided by <a href="https://www.sports-reference.com/sharing.html?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool">Pro-Football-Reference.com</a>: <a href="https://www.pro-football-reference.com/friv/birthplaces.htm?sr&utm_source=direct&utm_medium=Share&utm_campaign=ShareTool#birthplaces">View Original Table</a><br>Generated 1/13/2018.
